sentimen,tweet,tweet_clean
netral,"Maaf Pak , Rakyat tdk butuh pelukan , Rakyat butuh harga sembako murah ,  Listrik tarif turunkan , butuh lap kerja , bukan janji2 saja , #UASdifitnahKejiDanBrutal",maaf rakyat tidak butuh peluk rakyat butuh harga sembako murah listrik tarif turun butuh lap kerja bukan janji2 #uasdifitnahkejidanbrutal
netral,"#GameofThrones Winter is coming Pidato Jokowi di IMF Bank Dunia  Ibaratkan Ekonomi Dunia seperti Game Of Thrones  Game of Throneâ€™, Presiden Jokowi: Penting, Kekuatan Bersama Untuk Kalahkan â€˜Evil Winterâ€™  http://setkab.go.id/seperti-game-of-throne-presiden-jokowi-penting-kekuatan-bersama-untuk-kalahkan-evil-winter/Â â€¦ â€¦ #2019TetapJokowi pic.twitter.com/B8bZPjbFFi",#gameofthrones winter is coming pidato jokowi imf bank dunia ekonomi dunia game of thrones game of throne presiden jokowi kuat kalah evil winter #2019tetapjokowi pic twitter com b8bzpjbffi
positif,"@VidiaAmanda3 17 April Pilih Jokowi-KMA. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan. Namun, di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan.  https://bit.l",@vidiaamanda3 april pilih jokowi kma #pilihorangbaik #pilihjelasislamnya #pilihbajuputih tumbuh ekonomi tanpa perata zaman jokowi bukan tumbuh ekonomi perata bangun
netral,Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi   http://mediaindonesia.com/read/detail/229640-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomiÂ â€¦ #01OptimisIndonesiaMaju pic.twitter.com/Gudihikymw,jokowi raja salman sepakat tingkat kerja ekonomi #01optimisindonesiamaju pic twitter com gudihikymw
negatif,#UAHUASUAHUAS  ... Meskipun aku di surga Mungkin aku tak bahagia Bahagiaku tak sempurna Bila itu tanpamu... *Gandeng tangan prabowo  Baru jadi ustad sudah yakin masuk surga.... Ckckckck... Salah milih guru ngaji gue... #2019GantiPengajian,#uahuasuahuas surga tak bahagia bahagia tak sempurna tanpa gandeng tangan prabowo ustad masuk surga ckckckck salah milih guru ngaji gue #2019gantipengajian
negatif,"Buat anggota @KPU_ID anda tdk layak digaji, sebaiknya rasa malu diutamakan daripada isi perut. Gede bacot minim torehan prestasi.  cc @jokowi",anggota @kpu id tidak layak gaji malu utama isi perut gede bacot minim toreh prestasi cc @jokowi
netral,"Gasah mengejek program pa jokowi , karena program ini jg tdk asal ,pasti sdh dipikirkan mateng ,seperti program kis dulu ....mari kita hargai jgn saling menghujat .",gasah ejek program pa jokowi program tidak sdh pikir mateng program kis mari harga jgn hujat
netral,Monggo silahkan..itu hak anda...hargai juga kami yg inginkan perubahan lebih baik...,monggo silah hak harga ubah lebih
positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.   https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦",#pilihorangbaik #pilihjelasislamnya #pilihbajuputih harga anugerah bukti @jokowi sosok pimpin aku integritas
negatif,"He, he, he, sok bijak nih antek ORBA! Pikirkan Letjen pecatan yang bilang biang kerok ekonomi Indonesia adalah Presiden sebelum Jokowi, ada Jenderal SBY! Gimana demokrat ngga beralih dukungan ke Jokowi coba?",he he he sok bijak nih antek orba pikir letjen pecat bilang biang kerok ekonomi indonesia presiden jokowi jenderal sby gimana demokrat nggak alih dukung jokowi coba
netral,Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi:  http://metrobali.com/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi/Â â€¦ via @metrobali,presiden jokowi raja salman sepakat tingkat kerja ekonomi via @metrobali
netral,"gue kasih tau..Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.Â  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih",gue kasih tau harga anugerah bukti @jokowi sosok pimpin aku integritas #pilihorangbaik #pilihjelasislamnya #pilihbajuputih
netral,Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi  https://www.balinetizen.com/2019/04/14/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi/Â â€¦ via @Bali Netizen,presiden jokowi raja salman sepakat tingkat kerja ekonomi via @bali netizen
positif,"Dalam penjelasannya Kyai @KHMarufAmin_ mau menjadi cawapres karna @jokowi punya komitmen terkait ekonomi umat dgn apa yg disebutnya sebagai arus baru ekonomi Indonesia, membangun ekonomi dri bawah.   https://bit.ly/2Zbe65vÂ  #PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih",jelas kyai @khmarufamin cawapres karna @jokowi komitmen kait ekonomi umat sebut arus ekonomi indonesia bangun ekonomi dri #pilihorangbaik #pilihygjelasislamnya #pilihygbajuputih
positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Menterinya aja berprestasi, apalagi pemimpinnya. Bisa dikatakan, era @jokowi lah dimana sejumlah menterinya banyak meraih penghargaan.  https://bit.ly/2IpbIDdÂ ",#pilihorangbaik #pilihjelasislamnya #pilihbajuputih menteri prestasi pimpin era @jokowi mana menteri raih harga
negatif,#PopulerB1 4: Jokowi: Naikkan Tax Ratio Drastis Bisa Guncang Ekonomi  http://brt.st/6b4KÂ ,#populerb1 jokowi naik tax ratio drastis guncang ekonomi
positif,"Lalu berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat. #PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]",capai hasil capai tumbuh ekonomi era perintah @jokowi jk sangat tingkat #pilihorangbaik #pilihygjelasislamnya #pilihygbajuputih
negatif,"Disitu pak jokowi hanya membahas game online bagi pemain profesional, bahkan sekarang udah ada piala presiden Mobile legend, dan hadiahnya sangat besar. Jika kita mau bersaing didunia online seperti game, ekonomi kita juga akan naik.",situ jokowi bahas game online main profesional udah piala presiden mobile legend hadiah sangat saing dunia online game ekonomi
positif,"@Jokowi @KHMarufAmin_ 17 April Pilih Jokowi-KMA. Pada ngerti kan kalo Pak Jokowi belajar ngaji sejak sebelum jadi pejabat. Murni mendalami agama, tanpa unsur pencitraan. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih",@jokowi @khmarufamin april pilih jokowi kma ngerti kalo jokowi ajar ngaji jabat murni dalam agama tanpa unsur citra #pilihorangbaik #pilihjelasislamnya #pilihbajuputih
positif,#Repost from sandiuno (repost_media_app)  Prabowo-Sandi tidak ingin gagal fokus. Kita ingin pembangunan besar-besaran ini berdampak langsung pada ekonomi dan kesejahteraanâ€¦  https://www.instagram.com/fely_irzahn/p/BwQN4Ubgziz/?utm_source=ig_twitter_share&igshid=4xvs93h4zmduÂ â€¦,#repost from sandiuno repost media app prabowo sandi tidak gagal fokus bangun besar dampak langsung ekonomi sejahtera
negatif,Alasan Prabowo-Sandi Tak Terima Gaji Jika Menang: Negara Sedang Susah  https://kumparan.com/@kumparannews/alasan-prabowo-sandi-tak-terima-gaji-jika-menang-negara-sedang-susah-1qsiM359eYk?utm_medium=post&utm_source=Facebook&utm_campaign=intÂ â€¦,alas prabowo sandi tak terima gaji menang negara susah
negatif,"He, he, he, pikirkan Letjen pecatan yang bilang biang kerok ekonomi presiden2 sebelum Jokowi ada Jenderal SBY ada Jenderal Soeharto yg bintang nya sampe lima, dungu!",he he he pikir letjen pecat bilang biang kerok ekonomi presiden2 jokowi jenderal sby jenderal soeharto bintang sampe dungu
netral,"Jokowi menambahkan, capaian pertumbuhan itu perlu disyukuri karena Indonesia tetap tumbuh meski kondisi ekonomi global sedang bergejolak #2019JokowiKyaiMaruf  https://twitter.com/Tagar_Nusantara/status/1105782861150314496/photo/1 pic.twitter.com/y4PFLSTk8lÂ ",jokowi capai tumbuh syukur indonesia tumbuh kondisi ekonomi global gejolak #2019jokowikyaimaruf pic twitter com y4pflstk8l
positif,"Janji Tak Ambil Gaji Jika Menang Pilpres, Prabowo: Bukti Kita Tulus  https://news.detik.com/berita/d-4509660/janji-tak-ambil-gaji-jika-menang-pilpres-prabowo-bukti-kita-tulus?utm_term=echobox&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikcom&utm_source=Facebook#Echobox=1555173787Â â€¦",janji tak ambil gaji menang pilpres prabowo bukti tulus
negatif,"Terus lah bersuara minta keadilan. 1 suara begitu berarti.  @KPU_ID  kerja yang benar,jangan makan gaji buta. Jangan curang.",suara adil suara @kpu id kerja makan gaji buta curang
negatif,Jelas Jokowi lah. Prabowo dan Sandi pecicilan. Selalu pesimis tanpa jalan keluar jelas. Ekonomi Makro dan Mikro saja tak tau,jokowi prabowo sandi pecicilan pesimis tanpa jalan ekonomi makro mikro tak tau
positif,"gue kasih tau..Menterinya aja berprestasi, apalagi pemimpinnya. Bisa dikatakan, era @jokowi lah dimana sejumlah menterinya banyak meraih penghargaan.Â  https://bit.ly/2IpbIDdÂ Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih",gue kasih tau menteri prestasi pimpin era @jokowi mana menteri raih harga #pilihorangbaik #pilihjelasislamnya #pilihbajuputih
netral,Berita terbaru (Prabowo: Saya Tak Ingin Naikkan Pajak 16 Persen dalam Setahun) telah ada di  http://PILPRES.idÂ  -  https://pilpres.id/info/prabowo-saya-tak-ingin-naikkan-pajak-16-persen-dalam-setahun.htmlÂ â€¦ pic.twitter.com/8o7biqQ0gn,berita baru prabowo tak naik pajak persen tahun pic twitter com 8o7biqq0gn
positif,"Jokowi menjelaskan, pembangunan dan merevitalisasi pasar rakyat ini menjadi dasar utama dalam pembangunan ekonomi berbasis kerakyatan. Dengan demikian, kekuatan ekonomi Indonesia bisa lebih stabil #2019JokowiKyaiMaruf  https://twitter.com/Tagar_Nusantara/status/1105659138061688838/photo/1 pic.twitter.com/XYt9VIWpRJÂ ",jokowi bangun revitalisasi pasar rakyat dasar utama bangun ekonomi bas rakyat kuat ekonomi indonesia lebih stabil #2019jokowikyaimaruf pic twitter com xyt9viwprj
netral,"gue kasih tau..Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.Â  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih",gue kasih tau capai hasil capai tumbuh ekonomi era perintah @jokowi jk sangat tingkat #pilihorangbaik #pilihjelasislamnya #pilihbajuputih
positif,"#PilihOrangBaik#PilihJelasIslamnya #PilihBajuPutih  Presiden @jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu/liter, menjadi 6500/liter.  http://beritahati.com/berita/38106/Warga-Puncak-Papua-Era-Jokowi-harga-BBM-di-Papua-sama-dengan-pulau-JawaÂ â€¦",#pilihorangbaik#pilihjelasislamnya #pilihbajuputih presiden @jokowi bangun spbu setelag kabupaten puncak jaya papua harga 50ribu liter liter
positif,"Bersatu Menangkan @Jokowi #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Brbagai upaya telah dilakukan utk membangun Indonesia bebas korupsi, dr pelayanan berbasis elektronik, sistem pengaduan masyarakat, penghargaan bg masyarakat yg mengungkap korupsi.",satu menang @jokowi #pilihorangbaik #pilihjelasislamnya #pilihbajuputih brbagai upaya bangun indonesia bebas korupsi layan bas elektronik sistem adu masyarakat harga bg masyarakat ungkap korupsi
